Title,Podcaster,Author,Ship,Link,Link
(Un)wanted,Aibidil,Aibidil,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/40103235""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/40103235""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
5 times Draco Malfoy lied because of Harry Potter (and 1 time he was uncharacteristically honest),ETL_Echo_Audiobooks,Ingi,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/41814702""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41814702""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
6 Lessons From a Dead Man,fire_juggler,Roozette,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/309648""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/309648""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Bitter Justice,EllaMcSmellBella,gloivy,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/44201341""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/44201341""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Black and a Potter,peaceinpanem,TheFeistyRogue,Regulus Black/James Potter,"<a href=""https://archiveofourown.org/works/49397263""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/49397263""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Careful Facade,kitartpods (kitsunerei88),In_Dreams,Pansy Parkinson/Percy Weasley,"<a href=""https://archiveofourown.org/works/48931135""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/48931135""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Christmas Collaboration,EllaMcSmellBella,Musyc,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43407688""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43407688""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Different Sort of Dread,EllaMcSmellBella,itscometothis,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41331801""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41331801""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Dramione Halloween,EllaMcSmellBella,Mermaid886,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/50142277""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/50142277""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Drunken Confession,Dramione Oneshots,,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/0IhdVB9ULoBa7wwiRyxGyD?si=f05f51a4bd9144a2""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/0IhdVB9ULoBa7wwiRyxGyD?si=f05f51a4bd9144a2""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
A Gentlemans Agreement,Static_Whisper,Elucreh,"Cedric Diggory/Oliver Wood, Percy Weasley/Oliver Wood","<a href=""https://archiveofourown.org/works/31323605""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/31323605""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Magical Morning,EllaMcSmellBella,Musyc,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43630386""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43630386""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A most plausible Explanation,Podfics by Juuls (Juulna),noxsoulmate,Hermione Granger/Remus Lupin,"<a href=""https://archiveofourown.org/works/47206477""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/47206477""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
